datetime,tempmax,tempmin,temp,precip
2023-04-01,35.2,26.6,30.5,0.4
2023-04-02,36.1,23.3,30.3,0.1
2023-04-03,36.6,25.6,30.0,1.8
2023-04-04,36.4,25.7,30.8,0.0
2023-04-05,37.1,26.6,30.9,0.7
2023-04-06,38.1,26.6,31.8,0.7
2023-04-07,35.7,27.7,31.3,1.7
2023-04-08,36.3,27.6,31.6,0.5
2023-04-09,35.5,26.8,31.4,0.5
2023-04-10,35.6,26.6,31.0,1.3
2023-04-11,35.3,26.9,30.9,0.1
2023-04-12,36.4,27.6,31.5,1.0
2023-04-13,36.6,27.4,30.9,0.7
2023-04-14,37.6,26.6,31.8,0.0
2023-04-15,37.6,24.8,31.0,9.8
2023-04-16,33.0,23.9,27.8,15.2
2023-04-17,34.5,25.4,29.7,3.8
2023-04-18,35.4,27.6,31.2,0.2
2023-04-19,36.0,27.6,31.3,0.3
2023-04-20,37.0,27.7,31.9,0.6
2023-04-21,38.0,28.0,32.2,0.3
2023-04-22,38.0,27.9,31.8,1.3
2023-04-23,38.0,24.0,31.6,0.0
2023-04-24,36.0,28.0,31.8,0.0
2023-04-25,38.0,25.0,31.4,3.4
2023-04-26,36.0,25.7,30.6,3.3
2023-04-27,36.0,27.8,31.3,0.7
2023-04-28,36.0,28.0,31.5,0.8
2023-04-29,36.0,28.0,31.4,0.7
2023-04-30,38.0,27.5,31.5,3.6
2023-05-01,37.0,27.0,31.1,0.4
2023-05-02,37.0,27.0,31.8,0.1
2023-05-03,36.0,27.5,31.2,0.1
2023-05-04,37.0,28.0,32.2,0.2
2023-05-05,38.0,28.0,32.7,0.0
2023-05-06,40.0,28.0,33.3,0.0
2023-05-07,39.0,29.0,33.0,0.0
2023-05-08,37.5,25.0,30.7,5.3
2023-05-09,32.0,25.4,28.9,6.6
2023-05-10,36.0,27.0,30.8,4.2
2023-05-11,35.0,27.6,30.7,13.8
2023-05-12,31.0,27.0,28.7,9.9
2023-05-13,36.0,27.0,30.3,0.1
2023-05-14,36.0,28.0,30.5,4.5
2023-05-15,37.0,27.0,31.0,0.2
2023-05-16,38.0,28.0,32.5,0.1
2023-05-17,39.0,26.0,31.6,0.2
2023-05-18,38.0,27.6,31.2,5.0
2023-05-19,37.0,28.0,32.4,0.0
2023-05-20,39.0,26.0,31.2,1.2
2023-05-21,35.7,28.0,30.7,6.3
2023-05-22,37.0,26.0,29.8,7.5
2023-05-23,37.0,27.0,30.9,0.7
2023-05-24,35.6,27.0,30.0,10.3
2023-05-25,36.0,27.0,30.8,4.9
2023-05-26,37.0,26.0,30.1,0.4
2023-05-27,35.0,25.8,28.2,17.2
2023-05-28,32.0,25.8,27.3,14.6
2023-05-29,35.0,25.9,29.6,0.4
2023-05-30,34.0,27.8,30.7,9.8
2023-05-31,35.2,27.0,30.5,4.2
2023-06-01,36.0,27.0,31.3,3.0
2023-06-02,37.0,28.0,31.1,1.1
2023-06-03,36.0,27.0,30.9,4.8
2023-06-04,37.0,26.0,30.7,2.7
2023-06-05,36.0,26.0,29.5,8.2
2023-06-06,33.0,26.0,29.1,12.8
2023-06-07,33.0,26.4,29.1,6.5
2023-06-08,33.0,26.0,28.7,6.1
2023-06-09,33.0,27.0,29.2,5.9
2023-06-10,35.0,26.4,30.2,3.7
2023-06-11,33.0,26.6,29.9,3.0
2023-06-12,33.7,26.0,28.6,5.1
2023-06-13,35.0,26.0,30.6,3.2
2023-06-14,36.1,27.8,31.8,2.5
2023-06-15,35.0,28.0,30.4,1.4
2023-06-16,36.0,27.0,30.8,4.9
2023-06-17,36.0,25.0,28.9,8.7
2023-06-18,34.0,25.0,28.9,29.7
2023-06-19,35.0,24.0,28.7,0.0
2023-06-20,36.0,26.0,28.7,5.4
2023-06-21,36.0,26.0,29.4,0.1
2023-06-22,37.0,26.0,29.8,0.5
2023-06-23,37.0,25.5,30.8,0.0
2023-06-24,36.0,28.0,30.7,10.0
2023-06-25,35.0,26.9,29.3,7.2
2023-06-26,34.0,25.0,28.4,13.4
2023-06-27,34.1,25.8,28.8,3.8
2023-06-28,33.6,25.0,28.9,2.4
2023-06-29,35.0,27.0,29.7,9.1
2023-06-30,34.0,27.0,29.8,8.6
2023-07-01,33.0,26.9,28.6,8.1
2023-07-02,33.0,26.0,28.4,21.4
2023-07-03,33.4,24.0,27.8,9.9
2023-07-04,33.2,25.0,28.1,15.4
2023-07-05,34.6,25.6,29.7,0.8
2023-07-06,33.4,25.0,28.3,16.6
2023-07-07,33.6,25.4,29.4,2.8
2023-07-08,33.9,26.7,29.3,1.6
2023-07-09,31.6,26.7,28.7,6.9
2023-07-10,34.0,25.8,29.1,2.5
2023-07-11,35.4,26.8,30.6,2.4
2023-07-12,35.9,27.6,30.6,1.8
2023-07-13,35.2,27.6,30.2,0.5
2023-07-14,35.4,27.6,29.6,5.6
2023-07-15,34.2,27.7,30.6,0.2
2023-07-16,34.2,26.8,29.8,0.2
2023-07-17,32.2,27.4,28.8,4.0
2023-07-18,31.3,26.8,28.4,3.8
2023-07-19,32.5,25.8,28.3,4.3
2023-07-20,31.4,26.4,28.4,15.2
2023-07-21,28.7,26.3,27.2,25.1
2023-07-22,32.4,25.1,28.3,6.8
2023-07-23,31.8,25.8,27.5,25.0
2023-07-24,31.3,25.9,28.0,7.8
2023-07-25,32.4,25.9,29.0,6.0
2023-07-26,33.4,26.7,29.2,0.7
2023-07-27,33.9,27.6,30.0,10.5
2023-07-28,34.2,27.0,29.8,2.4
2023-07-29,33.1,26.8,29.0,3.6
2023-07-30,33.0,26.6,29.0,6.6
2023-07-31,34.0,27.0,29.3,1.8
2023-08-01,33.5,27.0,30.0,3.8
2023-08-02,33.2,27.8,29.9,1.7
2023-08-03,33.2,27.3,29.4,1.0
2023-08-04,33.7,26.7,30.2,0.6
2023-08-05,35.0,26.8,30.4,0.2
2023-08-06,34.7,26.6,30.4,0.7
2023-08-07,34.2,27.6,30.3,0.1
2023-08-08,34.8,25.7,30.2,0.3
2023-08-09,35.4,26.7,30.5,4.3
2023-08-10,35.0,26.7,29.7,0.9
2023-08-11,35.5,26.7,30.9,0.3
2023-08-12,35.1,26.8,30.5,6.4
2023-08-13,34.8,26.6,29.1,1.2
2023-08-14,34.3,26.9,29.8,3.6
2023-08-15,34.3,26.8,29.7,3.1
2023-08-16,35.1,26.7,29.6,4.6
2023-08-17,33.0,26.8,28.9,3.5
2023-08-18,34.0,26.7,28.7,14.1
2023-08-19,34.6,24.4,28.9,20.5
2023-08-20,35.0,24.0,28.0,13.8
2023-08-21,32.0,26.0,28.5,11.0
2023-08-22,35.0,26.0,29.6,10.4
2023-08-23,36.0,26.8,30.5,1.9
2023-08-24,35.0,26.0,30.1,1.9
2023-08-25,37.0,27.0,29.8,1.0
2023-08-26,36.0,25.0,29.6,3.1
2023-08-27,36.0,24.0,28.5,10.5
2023-08-28,35.3,26.0,29.8,0.5
2023-08-29,34.4,26.8,29.5,0.7
2023-08-30,32.9,26.8,29.2,10.6
2023-08-31,32.5,26.9,28.5,12.5
2023-09-01,33.3,26.2,28.6,5.3
2023-09-02,32.4,26.0,28.2,8.5
2023-09-03,33.5,26.2,28.9,10.8
2023-09-04,32.2,26.9,28.9,7.3
2023-09-05,32.3,26.1,28.5,13.1
2023-09-06,33.0,25.9,28.7,2.0
2023-09-07,33.8,26.0,29.6,8.2
2023-09-08,33.4,24.8,28.8,3.8
2023-09-09,34.2,24.9,27.8,12.5
2023-09-10,31.6,25.8,28.1,6.0
2023-09-11,30.6,24.6,27.6,2.4
2023-09-12,31.0,26.1,28.3,13.7
2023-09-13,32.0,25.9,28.5,0.7
2023-09-14,32.8,25.0,28.2,7.1
2023-09-15,31.6,25.3,27.7,18.5
2023-09-16,32.8,25.7,27.7,9.6
2023-09-17,32.8,25.4,27.7,14.6
2023-09-18,34.6,24.6,28.7,3.7
2023-09-19,33.0,25.9,29.3,1.5
2023-09-20,33.6,25.0,28.9,9.6
2023-09-21,34.0,25.0,28.5,8.8
2023-09-22,33.0,25.9,28.8,5.6
2023-09-23,34.0,25.0,28.4,11.0
2023-09-24,34.0,26.0,28.5,4.6
2023-09-25,34.0,26.0,28.3,8.0
2023-09-26,32.0,26.0,28.5,1.7
2023-09-27,30.0,25.8,26.8,14.0
2023-09-28,32.0,25.0,28.1,12.7
2023-09-29,34.0,26.3,28.9,5.8
2023-09-30,30.8,25.9,27.6,4.9
2023-10-01,33.5,25.8,28.9,1.3
2023-10-02,31.5,26.0,28.3,30.1
2023-10-03,30.5,25.0,26.5,24.3
2023-10-04,32.5,25.8,28.5,5.3
2023-10-05,33.6,25.9,28.6,1.9
2023-10-06,33.6,26.8,28.6,15.8
2023-10-07,32.9,27.0,29.4,4.4
2023-10-08,32.6,24.7,28.0,20.4
2023-10-09,32.0,25.9,28.9,1.5
2023-10-10,35.0,26.0,29.7,6.8
2023-10-11,33.0,27.0,29.6,3.6
2023-10-12,34.0,26.0,29.1,4.4
2023-10-13,32.0,26.0,28.6,5.0
2023-10-14,33.0,25.0,29.0,11.4
2023-10-15,30.0,25.0,27.4,16.6
2023-10-16,32.0,25.0,27.7,20.5
2023-10-17,31.0,25.0,27.9,14.6
2023-10-18,33.0,26.0,28.4,7.4
2023-10-19,33.3,26.8,28.8,6.4
2023-10-20,33.5,26.2,28.5,18.9
2023-10-21,33.4,25.9,29.1,10.7
2023-10-22,32.6,24.7,28.7,18.0
2023-10-23,31.7,24.9,27.7,5.8
2023-10-24,32.6,25.2,29.2,11.9
2023-10-25,32.4,24.9,28.5,4.5
2023-10-26,33.4,26.8,29.6,8.1
2023-10-27,34.0,25.5,29.2,6.3
2023-10-28,32.1,26.0,29.0,2.2
2023-10-29,31.3,25.7,28.0,14.3
2023-10-30,33.0,25.8,29.1,8.6
2023-10-31,32.8,27.0,29.5,13.9
2023-11-01,33.0,25.1,28.9,5.3
2023-11-02,32.0,25.1,28.4,10.9
2023-11-03,33.6,26.0,29.3,2.5
2023-11-04,32.5,24.2,28.3,4.6
2023-11-05,32.9,24.2,28.6,2.3
2023-11-06,32.8,25.0,29.1,5.6
2023-11-07,32.7,26.0,29.0,11.2
2023-11-08,32.8,25.5,28.9,11.4
2023-11-09,31.7,25.1,27.7,12.5
2023-11-10,31.8,24.8,28.4,13.9
2023-11-11,32.8,25.8,28.6,4.5
2023-11-12,33.4,26.8,29.3,3.2
2023-11-13,33.1,26.7,29.7,4.0
2023-11-14,33.0,25.0,29.3,14.0
2023-11-15,31.1,25.7,28.4,6.6
2023-11-16,32.4,26.8,28.8,2.6
2023-11-17,30.8,26.9,28.3,2.4
2023-11-18,29.8,24.6,26.9,0.0
2023-11-19,29.9,23.3,26.6,0.0
2023-11-20,30.6,24.3,27.2,0.0
2023-11-21,31.9,25.2,28.2,0.0
2023-11-22,31.7,24.6,27.9,0.0
2023-11-23,31.8,24.9,28.4,0.0
2023-11-24,31.7,25.8,28.6,0.1
2023-11-25,30.2,25.8,27.9,0.0
2023-11-26,32.2,26.9,29.2,2.6
2023-11-27,32.4,26.0,29.1,0.3
2023-11-28,30.7,24.8,27.8,0.0
2023-11-29,31.1,25.0,28.0,0.0
2023-11-30,32.0,26.8,29.1,2.8
2023-12-01,32.9,26.8,29.5,0.3
2023-12-02,32.6,24.9,28.4,3.7
2023-12-03,32.6,25.6,28.3,3.8
2023-12-04,31.8,25.6,28.6,0.6
2023-12-05,32.2,26.5,29.0,2.9
2023-12-06,33.2,25.7,29.3,0.1
2023-12-07,33.3,26.7,29.4,0.1
2023-12-08,31.1,25.9,28.3,0.0
2023-12-09,33.0,25.4,29.1,0.0
2023-12-10,32.9,25.6,29.1,0.2
2023-12-11,33.5,25.9,29.5,0.1
2023-12-12,33.0,26.0,29.5,0.2
2023-12-13,33.0,25.8,29.1,0.2
2023-12-14,33.8,26.7,30.0,0.0
2023-12-15,33.7,26.5,29.8,0.2
2023-12-16,34.0,26.4,29.7,0.2
2023-12-17,33.8,25.7,29.8,0.0
2023-12-18,32.8,25.8,29.3,0.1
2023-12-19,34.0,26.0,30.1,0.0
2023-12-20,33.7,26.9,29.9,0.0
2023-12-21,31.1,25.0,28.0,0.0
2023-12-22,28.0,23.4,25.9,0.0
2023-12-23,27.0,22.0,24.4,0.9
2023-12-24,26.9,22.2,24.5,1.0
2023-12-25,28.0,22.2,25.0,0.0
2023-12-26,30.0,23.0,26.3,0.0
2023-12-27,31.2,23.8,27.2,0.0
2023-12-28,32.7,25.1,28.6,0.7
2023-12-29,33.0,25.9,29.2,0.0
2023-12-30,33.0,26.0,29.2,1.3
2023-12-31,34.0,25.8,29.7,0.0
2024-01-01,32.9,25.2,29.2,0.5
2024-01-02,33.2,25.7,29.4,0.0
2024-01-03,33.0,25.8,29.3,0.0
2024-01-04,32.1,24.0,28.0,0.0
2024-01-05,31.7,24.2,27.8,0.0
2024-01-06,32.2,23.5,27.8,0.0
2024-01-07,32.7,25.0,28.4,0.0
2024-01-08,32.9,25.1,28.6,0.0
2024-01-09,34.0,25.5,29.0,0.0
2024-01-10,33.7,25.1,29.4,0.2
2024-01-11,34.2,26.6,29.7,0.1
2024-01-12,32.7,24.7,28.3,0.0
2024-01-13,31.4,24.4,27.8,0.0
2024-01-14,31.9,23.6,27.7,0.0
2024-01-15,32.7,23.8,27.9,0.0
2024-01-16,32.0,24.0,28.2,0.0
2024-01-17,32.0,24.1,28.2,0.0
2024-01-18,33.1,24.7,28.6,0.0
2024-01-19,34.3,24.6,29.0,0.0
2024-01-20,33.2,24.2,28.2,0.0
2024-01-21,32.2,24.5,28.3,0.0
2024-01-22,32.4,24.5,28.2,0.0
2024-01-23,32.9,25.1,28.9,0.0
2024-01-24,32.7,25.8,28.9,0.0
2024-01-25,32.5,24.1,28.5,0.0
2024-01-26,32.0,24.0,28.2,0.0
2024-01-27,31.9,23.9,27.9,0.0
2024-01-28,31.6,23.7,27.6,0.0
2024-01-29,31.8,23.9,27.6,0.0
2024-01-30,33.6,24.4,28.5,0.0
2024-01-31,33.3,24.6,28.6,0.1
2024-02-01,35.0,24.6,28.6,0.1
2024-02-02,34.0,23.7,28.4,0.1
2024-02-03,33.3,24.8,28.5,0.1
2024-02-04,34.0,25.3,29.1,0.0
2024-02-05,35.0,24.7,29.0,0.4
2024-02-06,33.7,25.7,29.0,0.2
2024-02-07,33.2,25.6,29.0,0.2
2024-02-08,34.0,25.6,29.0,0.4
2024-02-09,34.0,24.6,28.9,0.0
2024-02-10,35.0,25.8,29.7,0.0
2024-02-11,34.0,25.0,29.1,0.0
2024-02-12,34.0,23.4,28.4,0.0
2024-02-13,33.0,24.0,28.4,0.0
2024-02-14,34.0,25.0,29.8,0.0
2024-02-15,36.0,26.0,30.3,0.0
2024-02-16,35.0,26.0,30.0,0.0
2024-02-17,35.0,25.0,29.6,0.0
2024-02-18,35.0,24.0,29.5,0.0
2024-02-19,35.0,25.0,29.5,0.0
2024-02-20,33.6,25.6,29.2,0.1
2024-02-21,33.1,25.5,29.0,0.0
2024-02-22,34.1,25.5,29.3,0.0
2024-02-23,33.9,24.7,29.2,0.1
2024-02-24,33.8,26.4,29.8,0.4
2024-02-25,35.0,25.0,30.1,0.0
2024-02-26,34.3,25.0,29.5,0.0
2024-02-27,34.9,26.5,30.3,0.9
2024-02-28,35.0,25.9,29.6,0.7
2024-02-29,36.0,25.8,30.2,0.0
2024-03-01,34.8,25.6,29.6,0.1
2024-03-02,34.7,25.7,30.1,0.0
2024-03-03,35.0,25.6,29.6,0.0
2024-03-04,34.9,25.7,29.7,0.0
