Date,Price
2023-04-03,665.0
2023-04-04,665.0
2023-04-05,665.0
2023-04-06,650.0
2023-04-07,650.0
2023-04-10,650.0
2023-04-11,645.0
2023-04-12,645.0
2023-04-13,645.0
2023-04-14,643.0
2023-04-18,648.0
2023-04-19,635.0
2023-04-20,635.0
2023-04-21,630.0
2023-04-24,610.0
2023-04-25,610.0
2023-04-26,605.0
2023-04-27,605.0
2023-04-28,605.0
2023-05-02,605.0
2023-05-03,605.0
2023-05-04,585.0
2023-05-05,590.0
2023-05-08,595.0
2023-05-09,595.0
2023-05-10,595.0
2023-05-11,590.0
2023-05-12,580.0
2023-05-15,585.0
2023-05-16,580.0
2023-05-17,585.0
2023-05-18,585.0
2023-05-19,585.0
2023-05-22,575.0
2023-05-23,575.0
2023-05-24,570.0
2023-05-25,570.0
2023-05-26,570.0
2023-05-29,570.0
2023-05-30,570.0
2023-05-31,550.0
2023-06-01,557.0
2023-06-02,565.0
2023-06-05,570.0
2023-06-06,570.0
2023-06-07,570.0
2023-06-08,570.0
2023-06-09,570.0
2023-06-12,565.0
2023-06-13,565.0
2023-06-14,565.0
2023-06-15,565.0
2023-06-16,565.0
2023-06-19,565.0
2023-06-20,565.0
2023-06-21,565.0
2023-06-22,565.0
2023-06-23,565.0
2023-06-26,550.0
2023-06-27,560.0
2023-06-28,560.0
2023-06-29,560.0
2023-06-30,565.0
2023-07-03,565.0
2023-07-04,565.0
2023-07-05,565.0
2023-07-06,565.0
2023-07-07,555.0
2023-07-10,555.0
2023-07-11,555.0
2023-07-12,555.0
2023-07-13,555.0
2023-07-14,560.0
2023-07-17,555.0
2023-07-18,555.0
2023-07-19,555.0
2023-07-20,555.0
2023-07-21,565.0
2023-07-24,565.0
2023-07-25,565.0
2023-07-26,570.0
2023-07-27,570.0
2023-07-28,580.0
2023-07-31,580.0
2023-08-01,580.0
2023-08-02,575.0
2023-08-03,570.0
2023-08-04,570.0
2023-08-07,570.0
2023-08-08,570.0
2023-08-09,570.0
2023-08-10,570.0
2023-08-11,570.0
2023-08-14,570.0
2023-08-15,570.0
2023-08-16,570.0
2023-08-17,570.0
2023-08-18,570.0
2023-08-21,570.0
2023-08-22,570.0
2023-08-23,570.0
2023-08-25,560.0
2023-08-28,560.0
2023-08-29,560.0
2023-08-30,560.0
2023-08-31,570.0
2023-09-01,570.0
2023-09-04,570.0
2023-09-05,570.0
2023-09-06,570.0
2023-09-07,570.0
2023-09-08,560.0
2023-09-11,560.0
2023-09-12,560.0
2023-09-13,560.0
2023-09-14,560.0
2023-09-15,555.0
2023-09-18,555.0
2023-09-19,555.0
2023-09-20,555.0
2023-09-21,555.0
2023-09-22,555.0
2023-09-25,555.0
2023-09-26,555.0
2023-09-27,555.0
2023-09-28,555.0
2023-09-29,555.0
2023-10-02,555.0
2023-10-03,555.0
2023-10-04,555.0
2023-10-05,555.0
2023-10-06,555.0
2023-10-09,555.0
2023-10-10,550.0
2023-10-11,550.0
2023-10-12,550.0
2023-10-13,545.0
2023-10-16,550.0
2023-10-17,550.0
2023-10-18,545.0
2023-10-19,545.0
2023-10-20,545.0
2023-10-23,545.0
2023-10-24,545.0
2023-10-25,545.0
2023-10-26,545.0
2023-10-27,545.0
2023-10-30,545.0
2023-10-31,545.0
2023-11-01,545.0
2023-11-02,545.0
2023-11-03,545.0
2023-11-06,545.0
2023-11-07,545.0
2023-11-08,545.0
2023-11-09,545.0
2023-11-10,550.0
2023-11-13,550.0
2023-11-14,550.0
2023-11-15,550.0
2023-11-16,555.0
2023-11-17,560.0
2023-11-20,560.0
2023-11-21,560.0
2023-11-22,565.0
2023-11-23,565.0
2023-11-24,570.0
2023-11-27,570.0
2023-11-28,570.0
2023-11-29,570.0
2023-11-30,570.0
2023-12-01,570.0
2023-12-04,570.0
2023-12-05,570.0
2023-12-06,570.0
2023-12-07,570.0
2023-12-08,580.0
2023-12-11,575.0
2023-12-12,575.0
2023-12-13,575.0
2023-12-14,575.0
2023-12-15,575.0
2023-12-18,575.0
2023-12-19,575.0
2023-12-20,575.0
2023-12-21,575.0
2023-12-22,575.0
2023-12-26,575.0
2023-12-27,575.0
2023-12-28,580.0
2023-12-29,580.0
2024-01-03,585.0
2024-01-04,585.0
2024-01-05,590.0
2024-01-08,590.0
2024-01-09,585.0
2024-01-10,585.0
2024-01-11,585.0
2024-01-12,585.0
2024-01-15,585.0
2024-01-16,585.0
2024-01-17,585.0
2024-01-18,585.0
2024-01-19,585.0
2024-01-22,585.0
2024-01-23,585.0
2024-01-24,585.0
2024-01-25,585.0
2024-01-26,580.0
2024-01-29,580.0
2024-01-30,580.0
2024-01-31,580.0
2024-02-01,580.0
2024-02-02,575.0
2024-02-05,575.0
2024-02-06,575.0
2024-02-07,575.0
2024-02-08,575.0
2024-02-09,575.0
2024-02-12,575.0
2024-02-13,575.0
2024-02-14,575.0
2024-02-15,575.0
2024-02-16,575.0
2024-02-19,570.0
2024-02-20,565.0
2024-02-21,565.0
2024-02-22,568.0
2024-02-23,563.0
2024-02-26,563.0
2024-02-27,563.0
2024-02-28,563.0
2024-02-29,563.0
2024-03-01,563.0
2024-03-04,563.0
2024-03-05,558.0
2024-03-06,558.0
2024-03-07,558.0
2024-03-11,548.0
2024-03-12,548.0
2024-03-13,533.0
2024-03-14,533.0
2024-03-15,533.0
2024-03-18,533.0
2024-03-19,533.0
2024-03-20,533.0
2024-03-21,550.0
2024-03-22,550.0
2024-03-25,550.0
2024-03-26,545.0
2024-03-27,531.0
2024-03-28,531.0
2024-03-29,526.0
2024-04-01,526.0
2024-04-02,526.0
2024-04-03,525.0
2024-04-04,525.0
2024-04-05,525.0
2024-04-08,525.0
2024-04-09,535.0
2024-04-10,530.0
2024-04-11,530.0
2024-04-12,530.0
2024-04-15,530.0
2024-04-16,530.0
2024-04-17,535.0
2024-04-18,535.0
2024-04-19,535.0
2024-04-22,543.0
2024-04-23,545.0
2024-04-24,545.0
2024-04-25,545.0
2024-04-26,545.0
2024-04-29,545.0
2024-04-30,540.0
2024-05-01,540.0
2024-05-02,540.0
2024-05-03,540.0
2024-05-07,540.0
