Material,YearMonth,TargetMonth,target,Year,Month,Quarter,Month_sin,Month_cos,lag_1,lag_2,lag_3,lag_6,rolling_mean_3,rolling_mean_6,rolling_std_3,demand_growth,temp_lag1,temp_lag2,temp_lag3,temp_lag6,total_precip_lag1,total_precip_lag2,total_precip_lag3,total_precip_lag6,Price_lag1,Price_lag2,Price_lag3,Price_lag6,GDP_Growth_Rate_lag1,GDP_Growth_Rate_lag2,GDP_Growth_Rate_lag3,GDP_Growth_Rate_lag6,Grand_Total_GFA_lag1,Grand_Total_GFA_lag2,Grand_Total_GFA_lag3,Grand_Total_GFA_lag6
1100000230,2023-10-01,2023-11-01,32.089,2023,10,4,-0.8660254037844386,0.5000000000000001,7.218,18.404,35.27,42.54,20.29733333333333,26.939000000000004,14.121515829872271,-0.6997783319479081,28.37,29.635483870967743,29.0,31.09,236.0,148.8,220.3,53.5,559.7619047619048,568.8636363636364,562.3809523809524,637.1578947368421,5.0,5.0,5.0,5.0,6885209.0,6885209.0,6885209.0,6885209.0
1100000230,2023-11-01,2023-12-01,21.346,2023,11,4,-0.5000000000000004,0.8660254037844384,2.167,7.218,18.404,47.585,9.263,20.21016666666667,8.309426033126455,13.808029533917859,28.64516129032258,28.37,29.635483870967743,30.787096774193547,324.9,236.0,148.8,128.2,548.8636363636364,559.7619047619048,568.8636363636364,582.2727272727273,5.0,5.0,5.0,5.0,6885209.0,6885209.0,6885209.0,6885209.0
1100000230,2023-12-01,2024-01-01,17.975,2023,12,4,-2.4492935982947064e-16,1.0,32.089,2.167,7.218,10.617,13.824666666666667,17.6275,16.01772625353964,-0.33478762192651684,28.46333333333333,28.64516129032258,28.37,29.756666666666668,123.3,324.9,236.0,173.8,555.9090909090909,548.8636363636364,559.7619047619048,564.4090909090909,5.0,5.0,5.0,5.0,6885209.0,6885209.0,6885209.0,6885209.0
1100000230,2024-01-01,2024-02-01,14.682,2024,1,1,0.49999999999999994,0.8660254037844387,21.346,32.089,2.167,35.27,18.534000000000002,19.415666666666667,15.157903186127022,-0.15792185889628027,28.506451612903227,28.46333333333333,28.64516129032258,29.0,16.6,123.3,324.9,220.3,574.5,555.9090909090909,548.8636363636364,562.3809523809524,5.0,5.0,5.0,5.0,6885209.0,6885209.0,6885209.0,6885209.0
1100000230,2024-02-01,2024-03-01,42.36,2024,2,1,0.8660254037844386,0.5000000000000001,17.975,21.346,32.089,18.404,23.803333333333338,16.533166666666666,7.370896440280052,-0.18319888734353273,28.44193548387097,28.506451612903227,28.46333333333333,29.635483870967743,0.9,16.6,123.3,148.8,584.5238095238095,574.5,555.9090909090909,568.8636363636364,6.0,5.0,5.0,5.0,8245540.0,6885209.0,6885209.0,6885209.0
1100000230,2024-03-01,2024-04-01,30.366,2024,3,1,1.0,6.123233995736766e-17,14.682,17.975,21.346,7.218,18.001,15.912833333333333,3.332076079563583,1.8851655087862687,29.310344827586206,28.44193548387097,28.506451612903227,28.37,3.7,0.9,16.6,236.0,570.8571428571429,584.5238095238095,574.5,559.7619047619048,6.0,6.0,5.0,5.0,8245540.0,8245540.0,6885209.0,6885209.0
1100000230,2024-04-01,2024-05-01,7.6,2024,4,2,0.8660254037844387,-0.49999999999999983,42.36,14.682,17.975,2.167,25.00566666666667,21.769833333333334,15.11921381333478,-0.2831444759206799,30.64516129032258,29.310344827586206,28.44193548387097,28.64516129032258,5.9,3.7,0.9,324.9,543.85,570.8571428571429,584.5238095238095,548.8636363636364,6.0,6.0,6.0,5.0,8245540.0,8245540.0,8245540.0,6885209.0
1100000230,2024-05-01,2024-06-01,25.779,2024,5,2,0.49999999999999994,-0.8660254037844387,30.366,42.36,14.682,32.089,29.136,26.469666666666665,13.87993501425709,-0.7497200816702891,32.593333333333334,30.64516129032258,29.310344827586206,28.46333333333333,3.6,5.9,3.7,123.3,534.0909090909091,543.85,570.8571428571429,555.9090909090909,6.0,6.0,6.0,5.0,8245540.0,8245540.0,8245540.0,6885209.0
1100000230,2024-06-01,2024-07-01,15.764,2024,6,2,1.2246467991473532e-16,-1.0,7.6,30.366,42.36,21.346,26.775333333333332,22.388166666666667,17.655992334993048,2.3919736842105266,31.33225806451613,32.593333333333334,30.64516129032258,28.506451612903227,141.9,3.6,5.9,16.6,542.6818181818181,534.0909090909091,543.85,574.5,6.0,6.0,6.0,5.0,8245540.0,8245540.0,8245540.0,6885209.0
1100000230,2024-07-01,2024-08-01,17.921,2024,7,3,-0.4999999999999998,-0.8660254037844388,25.779,7.6,30.366,17.975,21.248333333333335,23.127,12.040261389742879,-0.3884945110361147,30.263333333333332,31.33225806451613,32.593333333333334,28.44193548387097,144.3,141.9,3.6,0.9,535.1052631578947,542.6818181818181,534.0909090909091,584.5238095238095,6.0,6.0,6.0,6.0,8245540.0,8245540.0,8245540.0,8245540.0
